CENTRO DE COSTO,AREA,UNIDAD,SUBUNIDAD,SEDE,OFICINA / AREA,UBICACIÓN,MODELO INSTALADO,SERIE,IP,DIRECCION,DISTRITO,PROVINCIA,DEPARTAMENTO,OWNER,TIPO
235,Banca Comercial,Gt Centro,Gt Centro,Provincia,Agencia Huancayo,Gerencia Territorial,MX522adhe,701701030LHZV,118.205.28.73,c Real 631 639,Huancayo,Huancayo,Junin,Lexmark,Contrato 2021
235,Banca Comercial,Gt Centro,Gt Centro,Provincia,Agencia Huancayo,Sub Gerencia,MX722adhe,7464102024191,118.205.28.68,c Real 631 639,Huancayo,Huancayo,Junin,Lexmark,Contrato 2021
235,Banca Comercial,Gt Centro,Gt Centro,Provincia,Agencia Huancayo,Gerencia,MX722adhe,746410202416P,118.205.28.69,c Real 631 639,Huancayo,Huancayo,Junin,Lexmark,Contrato 2021
235,Banca Comercial,Gt Centro,Gt Centro,Provincia,Agencia Huancayo,Gerencia,MX722adhe,746410202416H,118.205.28.70,c Real 631 639,Huancayo,Huancayo,Junin,Lexmark,Contrato 2021
236,Banca Comercial,Gt Centro,Gt Centro,Provincia,Agencia La Oroya,Operaciones,MX722adhe,746410302420Y,118.206.48.68,av Horacio Zevallos 406,La Oroya,Yauli,Junin,Lexmark,Contrato 2021
236,Banca Comercial,Gt Centro,Gt Centro,Provincia,Agencia La Oroya,Banca Empresa,MX722adhe,746410302421C,118.206.48.69,av Horacio Zevallos 406,La Oroya,Yauli,Junin,Lexmark,Contrato 2021
237,Banca Comercial,Gt Centro,Gt Centro,Provincia,Agencia El Tambo,Operaciones,MX722adhe,7464102024178,118.206.50.68,av Mariscal Castilla 1610,El Tambo,Huancayo,Junin,Lexmark,Contrato 2021
237,Banca Comercial,Gt Centro,Gt Centro,Provincia,Agencia El Tambo,Analista,MX722adhe,746410202415V,118.206.50.69,av Mariscal Castilla 1610,El Tambo,Huancayo,Junin,Lexmark,Contrato 2021
238,Banca Comercial,Gt Centro,Gt Centro,Provincia,Agencia La Merced,Operaciones,MX722adhe,74641050242RB,118.206.52.68,Jr Tarma 444 La Merced,Chanchamayo,Chanchamayo,Junin,Lexmark,Contrato 2021
238,Banca Comercial,Gt Centro,Gt Centro,Provincia,Agencia La Merced,Banca Empresa,MX722adhe,74641050242T1,118.206.52.69,Jr Tarma 444 La Merced,Chanchamayo,Chanchamayo,Junin,Lexmark,Contrato 2021
239,Banca Empresa Y Corporativa,Gerencia Regional Be 2,Gerencia Regional Be 2,Provincia,Banca Empresa Arequipa,Banca Empresa,MX722adhe,7464939022R1C,118.205.0.73,San Francisco 108 2 P,Arequipa,Arequipa,Arequipa,Lexmark,Contrato 2021
239,Banca Empresa Y Corporativa,Gerencia Regional Be 2,Gerencia Regional Be 2,Provincia,Banca Empresa Arequipa,Banca Empresa,MX722adhe,7464049023WZK,118.205.0.74,San Francisco 108 2 P,Arequipa,Arequipa,Arequipa,Lexmark,Contrato 2021
240,Banca Comercial,Gt Sur Chico,Gt Sur Chico,Provincia,Agencia Ica,Plataforma,MX722adhe,74641111247C1,118.206.54.68,Jr Libertad 141 165,Ica,Ica,Ica,Lexmark,Contrato 2021
240,Banca Comercial,Gt Sur Chico,Gt Sur Chico,Provincia,Agencia Ica,Comercial,MX722adhe,74641020241BH,118.206.54.70,Jr Libertad 141 165,Ica,Ica,Ica,Lexmark,Contrato 2021
240,Banca Comercial,Gt Sur Chico,Gt Sur Chico,Provincia,Agencia Ica,Comercial,MX722adhe,74641050242V1,118.206.54.69,Jr Libertad 141 165,Ica,Ica,Ica,Lexmark,Contrato 2021
241,Banca Comercial,Gt Sur Chico,Gt Sur Chico,Provincia,Agencia Pisco,Operaciones,MX722adhe,746410202419W,118.206.56.68,c Perez Figuerola 194,Pisco,Pisco,Ica,Lexmark,Contrato 2021
241,Banca Comercial,Gt Sur Chico,Gt Sur Chico,Provincia,Agencia Pisco,Plataforma,MX722adhe,746410202419X,118.206.56.69,c Perez Figuerola 194,Pisco,Pisco,Ica,Lexmark,Contrato 2021
242,Banca Comercial,Gt Lima Centro,Gt Lima Centro,Lima,Agencia Damero Gamarra,Ventanilla,MX722adhe,74641050242RW,118.206.58.68,av 28 de Julio 2498,La Victoria,Lima,Lima,Lexmark,Contrato 2021
242,Banca Comercial,Gt Lima Centro,Gt Lima Centro,Lima,Agencia Damero Gamarra,Plataforma,MX722adhe,74641030241ZB,118.206.58.69,av 28 de Julio 2498,La Victoria,Lima,Lima,Lexmark,Contrato 2021
244,Banca Comercial,Gt Lima Centro,Gt Lima Centro,Lima,Agencia Hipolito Unanue,Plataforma,MX722adhe,746410202416X,118.206.60.68,Jr Hipolito Unanue 1616 1620,La Victoria,Lima,Lima,Lexmark,Contrato 2021
244,Banca Comercial,Gt Lima Centro,Gt Lima Centro,Lima,Agencia Hipolito Unanue,Sub Gerencia,MX722adhe,74641050242W1,118.206.60.69,Jr Hipolito Unanue 1616 1620,La Victoria,Lima,Lima,Lexmark,Contrato 2021
245,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Miraflores ( Piura ),Sala Prime,MX432adwe,701934240K209,118.206.62.70,Av Ramon Mujica 108A,Piura,Piura,Piura,Lexmark,Contrato 2021
245,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Miraflores ( Piura ),Sub Gerencia,MX722adhe,74641050242R3,118.206.62.68,Av Ramon Mujica 108A,Piura,Piura,Piura,Lexmark,Contrato 2021
245,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Miraflores ( Piura ),Plataforma,MX722adhe,74641050242R4,118.206.62.69,Av Ramon Mujica 108A,Piura,Piura,Piura,Lexmark,Contrato 2021
246,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Husares De Junin,Sala Prime,MX432adwe,701941340M40D,118.206.64.70,av Husares de Junin 896,Trujillo,Trujillo,La Libertad,Lexmark,Contrato 2021
246,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Husares De Junin,Atencion Al Cliente,MX722adhe,746410302421V,118.206.64.68,av Husares de Junin 896,Trujillo,Trujillo,La Libertad,Lexmark,Contrato 2021
246,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Husares De Junin,Atencion Al Cliente,MX722adhe,746410302420X,118.206.64.69,av Husares de Junin 896,Trujillo,Trujillo,La Libertad,Lexmark,Contrato 2021
247,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Chepen,Atencion al Cliente,MX722adhe,746410202416B,118.206.66.68,c San Pedro 101,Chepen,Chepen,La Libertad,Lexmark,Contrato 2021
247,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Chepen,Atencion al Cliente,MX722adhe,746410202417X,118.206.66.69,c San Pedro 101,Chepen,Chepen,La Libertad,Lexmark,Contrato 2021
248,Banca Comercial,Gt Oriente,Gt Oriente,Provincia,Agencia Cc El Quinde Cajamarca,Sub Gerencia,MX722adhe,74641020241C0,118.206.68.68,Jr Sor Manuela Gil 151,Cajamarca,Cajamarca,Cajamarca,Lexmark,Contrato 2021
248,Banca Comercial,Gt Oriente,Gt Oriente,Provincia,Agencia Cc El Quinde Cajamarca,Plataforma,MX722adhe,746410202418H,118.206.68.69,Jr Sor Manuela Gil 151,Cajamarca,Cajamarca,Cajamarca,Lexmark,Contrato 2021
249,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Trujillo,Sala Prime,MX432adwe,701941340M3ZP,118.205.2.72,Jr Francisco Pizarro 620,Trujillo,Trujillo,La Libertad,Lexmark,Contrato 2021
249,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Trujillo,Atencion al Cliente,MX722adhe,7464103024219,118.205.2.68,Jr Francisco Pizarro 620,Trujillo,Trujillo,La Libertad,Lexmark,Contrato 2021
249,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Trujillo,Atencion Al Cliente,MX722adhe,74641030241Z3,118.205.2.69,Jr Francisco Pizarro 620,Trujillo,Trujillo,La Libertad,Lexmark,Contrato 2021
