VLAN_CODE,VLAN_NAME,IP,MODELO,SERIE,UBICACION,DIRECCION,DISTRITO,PROVINCIA,DEPARTAMENTO,TIPO
939,939 - Ag. Ovalo el Pacifico,118.207.122.68,MX722adhe,746410202417D,Sub Gerencia,av Jose Pardo 320,Miraflores,Lima,Lima,Contrato 2021
939,939 - Ag. Ovalo el Pacifico,118.207.122.69,MX722adhe,7464049023WXD,Banca Negocio,av Jose Pardo 320,Miraflores,Lima,Lima,Contrato 2021
960,960 - Ag. Plaza Diez Canseco,118.207.124.68,MX722adhe,74641020241B1,Plataforma,Jr Huamachuco 1301,Jesus Maria,Lima,Lima,Contrato 2021
960,960 - Ag. Plaza Diez Canseco,118.207.124.69,MX722adhe,7464102024193,Gerencia,Jr Huamachuco 1301,Jesus Maria,Lima,Lima,Contrato 2021
967,967 - Ag. Banca Empresa Huancayo,118.205.28.74,MX722adhe,7464102024173,Banca Empresa,c Real 631 639 2 piso,Huancayo,Huancayo,Junin,Contrato 2021
967,967 - Ag. Banca Empresa Huancayo,118.205.28.75,MX722adhe,74641030241ZH,Banca Empresa,c Real 631 639 2 piso,Huancayo,Huancayo,Junin,Contrato 2021
970,970 - Ag. Ovalo Naranjal,118.207.126.68,MX722adhe,746411112479M,Sub Gerencia,av Naranjal 1425,Los Olivos,Lima,Lima,Contrato 2021
970,970 - Ag. Ovalo Naranjal,118.207.126.69,MX722adhe,746411112479W,Banca Empresarial,av Naranjal 1425,Los Olivos,Lima,Lima,Contrato 2021
976,976 - Ag. Las Bambas,118.207.136.68,MX722adhe,7464049023WXK,Ventanilla,Plz Armas Chalhuahuacho,Challhuahuacho,Cotabambas,Apurimac,Contrato 2021
976,976 - Ag. Las Bambas,118.207.136.69,MX722adhe,74641020241BK,Ventanilla,Plz Armas Chalhuahuacho,Challhuahuacho,Cotabambas,Apurimac,Contrato 2021
982,982 - Ag. Open Plaza Pucallpa,118.207.130.68,MX722adhe,746410202417Z,Sub Gerencia,av Centenario 4614,Yarinacocha,Coronel Portillo,Ucayali,Contrato 2021
982,982 - Ag. Open Plaza Pucallpa,118.207.130.69,MX722adhe,7464102024165,Plataforma,av Centenario 4614,Yarinacocha,Coronel Portillo,Ucayali,Contrato 2021
